"Test Case","Technique ID","Tactic","Description"
"Spearphishing Attachment - PDF with Link (Google Drive)","T1566.001","Initial Access","Send a PDF attachment payload that has a link to an exe hosted on Google Drive to a target user.
"
"Spearphishing Attachment - Macro","T1566.001","Initial Access","Send a spearphishing attachment containing a malicious macro payload to a target inbox
"
"Kerberoast","T1558.003","Credential Access","Perform a kerberoast attack by requesting Kerberos tickets for Active Directory accounts with service principal names set"
"New Scheduled Task","T1053.005","Persistence","Persist on a system by creating a new scheduled task"
"HTTP C2 Channel (Custom Profile)","T1071.001","Command and Control","Establish and communicate over an HTTP command and control (C2) channel using Cobalt Strike configured with a custom Malleable C2 profile."
"HTTPS C2 Channel (Custom Profile)","T1071.001","Command and Control","Establish and communicate over an HTTPS command and control (C2) channel using Cobalt Strike configured with a custom Malleable C2 profile."
"Remote Tool Download","T1105","Command and Control","Download a known malicious tool from a public hosting location over HTTP onto the victim system"
"Execution using Office Macro","T1204.002","Execution","Establish an initial foothold using a malicious Office macro"
"Persist via WMI Event Subscription","T1546.003","Persistence","Establish persistence on a target system by creating a WMI CommandlineEventConsumer event subscription that launches a malicious dll payload with rundll32"
"Block Outbound UDP with netsh","T1562.004","Defense Evasion","Block outbound traffic to UDP ports 53 (DNS) and 137 (NetBIOS) on the Windows firewall using netsh.exe."
"Exchange User-Role Mapping Discovery","T1087","Discovery","Identify Exchange users and their permission assignments using PowerShell Exchange cmdlets"
"New Credential for Azure OAuth application","T1098.001","Persistence","In Azure AD, add a new credential to an OAuth application"
"Replicate Domain Data using DCSync","T1003.006","Credential Access","Extract domain data, such as hashed credentials, from a target domain controller using replication"
"Disable Windows Logging with auditpol.exe","T1562.002","Defense Evasion","Disable Windows advanced auditing features on the endpoint using the native utility "auditpol.exe""
"Lateral Movement via WinRM","T1021.006","Lateral Movement","Move laterally to another system by using WinRM to execute a DLL payload using rundll32."
"Export Exchange Mailbox to File","T1114.002","Collection","Use Exchange PowerShell modules to export a target user's Exchange mailbox to a file then delete the export request. (for Exchange on-premise only)"
"SMB C2 Channel","T1090.001","Command and Control","Establish and communicate over a Cobalt Strike SMB C2 channel on the internal network"
"Enable Exchange ActiveSync for a New Device ID","T1098.002","Persistence","In Exchange, associate a new device ID to an inbox to allow that device to perform ActiveSync"
"Execution using PowerShell and Rundll32","T1218.011","Execution","Execute a malicious DLL's function directly using rundll32 as an encoded PowerShell command"
"Credential Dumping from Browser","T1555.003","Credential Access","Extract credentials stored in browsers using a compiled version of LaZagne"
"Access via ScreenConnect","T1219","Command and Control","Establish connection to system using ScreenConnect (ConnectWise Control)"
"Execution using VBScript","T1059.005","Execution","Use a VBScript payload to download and execute a malicious PowerShell one-liner"
"Encrypt a Large Amount of Files","T1486","Impact","Encrypt a large amount of files on disk to simulate ransomware behavior
"
"Delete Shadows with vssadmin","T1490","Impact","Delete volume shadow copies with vssadmin.exe to prevent file recovery
"
"Process Discovery via Tasklist","T1057","Discovery","Enumerate running processes via tasklist"
"List Connections with ARP","T1016","Discovery","Use arp.exe to list recent connections"
