"Test Case","MITRE ID","Campaign","Description"
"Enumerate domain groups and users using net","T1087.002","Discovery","Enumerate domain users and domain groups using the builtin net.exe"
"BloodHound DC enumeration","T1087.002","Discovery","Use BloodHound/SharpHound to perform enumeration of domain resources against a domain controller"
"HTTP C2 over tcp/80","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTP"
"HTTPS C2 over tcp/443","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTPS"
"Access via remote assistance tool","T1219","Command and Control","Establish connection to system using a legitimate remote assistance application"
"Remote tool download over HTTP","T1105","Command and Control","Download a tool from a public hosting location onto the victim system"
"Lateral Movement via WMI","T1021.003","Lateral Movement","Move to another system by using Windows Management Instrumentation (WMI) to spawn a process on that target system"
"Lateral Movement via PsExec","T1021.002","Lateral Movement","Move to another system by creating a service remotely via Sysinternals PsExec"
"Lateral Movement via RDP","T1021.001","Lateral Movement","Perform an interactive logons to a Windows system via RDP"
"Persist via new scheduled task","T1053.005","Persistence","Persist on a system by creating a new scheduled task"
"Persist via new Windows service","T1543.003","Persistence","Persist on a system by creating a new service"
"Persist via Registry Winlogon Shell","T1547.004","Persistence","Run a payload during user login by setting a Registry Winlogon key"
"Persist via Registry ""Run"" key","T1547.001","Persistence","Run a payload during user login and startup by setting a registry run key"
"Register a new device in Azure AD","T1098.005","Persistence","Register a new device in Azure AD"
"Configure a custom federated domain","T1484.002","Persistence","Convert a custom domain in the Azure Active Directory tenant into a federated domain. This can be used for persistent access into the tenant."
"Extract domain user credentials via replication","T1003.006","Credential Access","Replicate a user's hash from a domain controller using replication APIs (DCSync)."
"Extract Logonpasswords via Nanodump","T1003.001","Credential Access","Use nanodump to extract credentials from LSASS process memory"
"Dump LSASS memory using builtin comsvcs.dll","T1003.001","Credential Access","Use rundll32.exe and comsvcs.dll to dump LSASS process memory to disk"
"Dump LSASS memory using Sysinternals ProcDump","T1003.001","Credential Access","Use ProcDump from Sysinternals to dump LSASS process memory"
"Extract browser cookies","T1555.003","Credential Access","Extract cookie information from the user's browser"
"Volumetric Kerberoasting","T1558.003","Credential Access","Retrieve Kerberos TGS tickets from Active Directory for all users with service principal names (SPNs) set"
"Extract NTDS credentials via ntdsutil.exe","T1003.003","Credential Access","Dump domain hashes for all domain users on the domain controller via ntdsutil.exe, which uses Volume Shadow Services (VSS)"
"Enabled WDigest via Registry","T1112","Credential Access","Set the UseLogonCredential key in the WDigest hive to enable cleartext credential storage in-memory"
"Register Security Service Provider (SSP) in LSASS","T1547.005","Credential Access","Register an SSP DLL that into LSASS. This technique can be used by adversaries to harvest credentials that traverse through LSASS."
"Encrypt a large amount of files","T1486","Impact","Encrypt a large amount of files on the endpoint to simulate ransomware"
"Delete backup catalogs with wbadmin.exe","T1490","Impact","Delete native Windows backups"
"Delete shadows with vssadmin.exe","T1490","Impact","Delete volume shadow copies on the host to inhibit file system recovery"
"Modify group policy object","T1484.001","Impact","Modify a domain group policy object. This can be used for activities like persisting access to the environment, disabling security controls, and executing ransomware on domain systems."
"Extract data to cloud storage service","T1567.002","Exfiltration","Extract data from the internal network to a cloud storage service like MEGA, Google Drive, or Box"
"Extract sensitive data over HTTP","T1048.003","Exfiltration","Extract data from the network over HTTP tcp/80 to an external host or IP."
"Extract sensitive data over HTTP C2","T1041","Exfiltration","Extract data from the network via an HTTP C2 channel over tcp/80 to external host or IP"
"Screen Capture","T1113","Collection","Capture an image of the user's screen"
"Keylogger","T1056.001","Collection","Log user keystrokes"
