"Test Case","MITRE ID","Campaign","Description"
"Extract data to cloud storage service","T1567.002","Exfiltration","Extract data from the internal network to a cloud storage service like MEGA, Google Drive, or Box"
"Create a machine account","T1136.002","Persistence","Create an Active Directory machine account"
"Register a new device in Entra ID","T1098.005","Persistence","Register a new device in Entra ID"
"Create new local user","T1136.001","Persistence","Persist access to a system by creating a new local user"
"Add user to local Administrator group","T1098","Persistence","Add an existing local user to the local Administrators group"
"Add user to Domain Admins group","T1098","Persistence","Add an existing domain user to the Domain Admins group"
"Create certificate for principal via AD Certificate Services","T1098","Persistence","Create a certificate for the user or machine account by using Active Directory Certificate Services. This certificate can then be used to authenticate as the principal for things like Kerberos."
"Persist via Registry Run key","T1547.001","Persistence","Run a payload during user login and startup by setting a Registry Run key"
"Persist via new scheduled task","T1053.005","Persistence","Persist on a system by creating a new scheduled task"
"New Credential for Entra application","T1098.001","Persistence","In Entra ID, add a new credential to an OAuth application registration"
"Configure a custom federated domain in Entra ID","T1484.002","Persistence","Convert a custom domain in the Entra ID tenant into a federated domain. This can be used for persistent access into the tenant."
"Persist via MFA device registration","T1556.006","Persistence","Establish persistence on an account by registering a new MFA device"
"Encrypt a large amount of files","T1486","Impact","Encrypt a large amount of files on the endpoint to simulate ransomware"
"Delete shadow copies from system","T1490","Impact","Delete volume shadow copies on the host to inhibit file system recovery"
"Email link to known bad","T1566.002","Initial Access","Send a phishing email to a target containing a known bad link"
"Email QR code to known bad","T1566.002","Initial Access","Send a phishing email to a target containing a known bad link formatted as a QR code"
"Attachment - Zipped LNK file","T1566.001","Initial Access","Send phishing email to victim containing a zipped LNK file attachment. This is intended to test the mail gateway (and sandbox analysis) in isolation."
"Attachment - Macro","T1566.001","Initial Access","Send a spearphishing attachment containing a malicious macro payload to a target"
"Suspicious external employee login","T1078","Initial Access","Log in to an external employee portal from an unexpected geolocation and with an unexpected user-agent to simulate a suspicious login attempt."
"Authentication via device code flow","T1528","Initial Access","Have a user authenticate to the tenant using a device code flow"
"SSO Portal Password Spray + Login","T1110.003","Initial Access","Perform a login brute force against an external SSO portal using a list of users/emails and a single password. Then, log into the portal using a valid credential."
"Phishing via external Teams tenant","T1566","Initial Access","Send a phishing message to a target user via a Team tenant not connected to the target user's tenant"
"Spoof email by sending directly to tenant SMTP endpoint","T1672","Initial Access","Send an email to a target that spoofs the sender's address to look like an internal user by using the target tenant's Exchange Online SMTP endpoint"
"Bulk data collection from SharePoint","T1213.002","Collection","Download a large amount of files from SharePoint within a short time period"
"Search SharePoint for credentials","T1213.002","Collection","Perform searches within SharePoint for documents containing credentials information"
